"GEOID";"NAME";"Population"
"26163503600";"Census Tract 5036, Wayne County, Michigan";1683
"26163506100";"Census Tract 5061, Wayne County, Michigan";1964
"26163531400";"Census Tract 5314, Wayne County, Michigan";1590
"26163536300";"Census Tract 5363, Wayne County, Michigan";3099
"26163544300";"Census Tract 5443, Wayne County, Michigan";2480
"26163546000";"Census Tract 5460, Wayne County, Michigan";3249
"26163546400";"Census Tract 5464, Wayne County, Michigan";1372
"26163501200";"Census Tract 5012, Wayne County, Michigan";1739
"26163503100";"Census Tract 5031, Wayne County, Michigan";3133
"26163503200";"Census Tract 5032, Wayne County, Michigan";2927
"26163503400";"Census Tract 5034, Wayne County, Michigan";1263
"26163505200";"Census Tract 5052, Wayne County, Michigan";3490
"26163506800";"Census Tract 5068, Wayne County, Michigan";4150
"26163541200";"Census Tract 5412, Wayne County, Michigan";1894
"26163543100";"Census Tract 5431, Wayne County, Michigan";2521
"26163543700";"Census Tract 5437, Wayne County, Michigan";2371
"26163546100";"Census Tract 5461, Wayne County, Michigan";4282
"26163538500";"Census Tract 5385, Wayne County, Michigan";5216
"26163539000";"Census Tract 5390, Wayne County, Michigan";3072
"26163539700";"Census Tract 5397, Wayne County, Michigan";2058
"26163500200";"Census Tract 5002, Wayne County, Michigan";2816
"26163500300";"Census Tract 5003, Wayne County, Michigan";2243
"26163500500";"Census Tract 5005, Wayne County, Michigan";1706
"26163501100";"Census Tract 5011, Wayne County, Michigan";3348
"26163501300";"Census Tract 5013, Wayne County, Michigan";3679
"26163515400";"Census Tract 5154, Wayne County, Michigan";1583
"26163515700";"Census Tract 5157, Wayne County, Michigan";3566
"26163516400";"Census Tract 5164, Wayne County, Michigan";1224
"26163545500";"Census Tract 5455, Wayne County, Michigan";4359
"26163513900";"Census Tract 5139, Wayne County, Michigan";1898
"26163506200";"Census Tract 5062, Wayne County, Michigan";2343
"26163506900";"Census Tract 5069, Wayne County, Michigan";4215
"26163510400";"Census Tract 5104, Wayne County, Michigan";662
"26163514100";"Census Tract 5141, Wayne County, Michigan";3146
"26163515600";"Census Tract 5156, Wayne County, Michigan";1186
"26163516300";"Census Tract 5163, Wayne County, Michigan";795
"26163521100";"Census Tract 5211, Wayne County, Michigan";2149
"26163521300";"Census Tract 5213, Wayne County, Michigan";883
"26163522200";"Census Tract 5222, Wayne County, Michigan";624
"26163985000";"Census Tract 9850, Wayne County, Michigan";0
"26163985100";"Census Tract 9851, Wayne County, Michigan";126
"26163985200";"Census Tract 9852, Wayne County, Michigan";0
"26163985300";"Census Tract 9853, Wayne County, Michigan";0
"26163985500";"Census Tract 9855, Wayne County, Michigan";0
"26163985900";"Census Tract 9859, Wayne County, Michigan";0
"26163533000";"Census Tract 5330, Wayne County, Michigan";1500
"26163530200";"Census Tract 5302, Wayne County, Michigan";4235
"26163531300";"Census Tract 5313, Wayne County, Michigan";1280
