"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163546600";61;2101;0;34;49;0.0271714922048998;0.935857461024499;0;0.021826280623608;0.0151447661469933
"26163538100";319;1927;0;120;27;0.133305474300042;0.805265357292102;0;0.0112829084830756;0.0501462599247806
"26163534500";14;841;0;47;0;0.0155210643015521;0.932372505543237;0;0;0.0521064301552106
"26163534700";17;3143;0;0;1;0.00537804492249288;0.994305599493831;0;0.000316355583676052;0
"26163535600";63;3801;0;27;0;0.0161912104857363;0.976869699306091;0;0;0.00693909020817271
"26163536700";6;1098;5;38;0;0.00523103748910201;0.957279860505667;0.004359197907585;0;0.033129904097646
"26163536800";51;1523;2;54;1;0.0312691600245248;0.933782955242183;0.00122624156958921;0.000613120784794605;0.0331085223789086
"26163537800";17;1697;0;22;0;0.0097926267281106;0.977534562211982;0;0;0.0126728110599078
"26163513600";82;1471;7;48;13;0.0505860579888957;0.907464528069093;0.00431832202344232;0.00801974090067859;0.0296113510178902
"26163515300";314;2550;0;68;60;0.104946524064171;0.852272727272727;0;0.0200534759358289;0.0227272727272727
"26163516200";24;737;0;7;0;0.03125;0.959635416666667;0;0;0.00911458333333333
"26163516500";311;1008;41;57;16;0.217027215631542;0.703419399860433;0.0286113049546406;0.0111653872993719;0.0397766922540126
"26163501500";629;3931;0;123;59;0.132644453816955;0.828975115984817;0;0.0124420075917334;0.0259384226064951
"26163501700";492;1797;41;188;21;0.193777077589602;0.707758960220559;0.0161480897991335;0.00827097282394644;0.0740448995667586
"26163504000";31;1556;0;0;0;0.019533711405167;0.980466288594833;0;0;0
"26163504800";26;1067;0;26;0;0.0232350312779267;0.953529937444147;0;0;0.0232350312779267
"26163505100";170;2524;50;30;33;0.0605628785179907;0.899180619878874;0.0178126113288208;0.0117563234770217;0.0106875667972925
"26163506600";124;2362;0;81;0;0.0483054148811843;0.920140241527074;0;0;0.0315543435917413
"26163507100";11;2483;15;20;1;0.00434782608695652;0.981422924901186;0.00592885375494071;0.000395256916996047;0.00790513833992095
"26163531900";211;764;0;31;13;0.207065750736016;0.749754661432777;0;0.0127576054955839;0.0304219823356232
"26163532200";90;1148;0;34;0;0.0707547169811321;0.90251572327044;0;0;0.0267295597484277
"26163532300";121;671;4;40;0;0.144736842105263;0.802631578947368;0.00478468899521531;0;0.0478468899521531
"26163533600";0;2184;0;0;54;0;0.975871313672922;0;0.0241286863270777;0
"26163535300";62;3731;0;40;74;0.0158689531609931;0.954952649091374;0;0.0189403634502176;0.0102380342974149
"26163518600";11;700;0;0;1;0.0154494382022472;0.98314606741573;0;0.00140449438202247;0
"26163537700";17;3247;0;44;11;0.00512202470623682;0.978306718891232;0;0.00331425128050618;0.0132570051220247
"26163538300";21;1508;0;0;26;0.0135048231511254;0.969774919614148;0;0.0167202572347267;0
"26163538400";580;3048;27;101;0;0.154419595314164;0.811501597444089;0.00718849840255591;0;0.0268903088391906
"26163539200";19;4247;3;106;26;0.00431720063621904;0.965007952738014;0.000681663258350375;0.00590774823903658;0.0240854351283799
"26163540600";7;3197;0;42;0;0.00215650030807147;0.9849044978435;0;0;0.0129390018484288
"26163541000";109;3477;0;118;8;0.029364224137931;0.936691810344828;0;0.0021551724137931;0.0317887931034483
"26163541300";536;1903;0;76;84;0.206233166602539;0.73220469411312;0;0.0323201231242786;0.0292420161600616
"26163521800";10;1253;0;0;14;0.00783085356303837;0.981205951448708;0;0.0109631949882537;0
"26163520800";274;662;123;53;87;0.228523769808173;0.552126772310259;0.102585487906589;0.0725604670558799;0.0442035029190992
"26163503300";165;3997;57;56;78;0.0379048931771192;0.918217321387549;0.0130944176430048;0.0179186767746382;0.012864691017689
"26163500600";199;2675;10;230;0;0.0639049454078356;0.859023763648041;0.00321130378933847;0;0.0738599871547848
"26163504900";272;2878;0;27;0;0.0856153604028958;0.905886056027699;0;0;0.0084985835694051
"26163507900";226;1472;9;46;49;0.125416204217536;0.816870144284129;0.00499445061043285;0.0271920088790233;0.025527192008879
"26163513300";255;2060;0;95;28;0.104593929450369;0.844954881050041;0;0.0114848236259229;0.0389663658736669
"26163516600";23;2263;0;15;8;0.00996102208748376;0.980077955825032;0;0.00346470333477696;0.0064963187527068
"26163518800";97;688;11;11;0;0.120198265179678;0.852540272614622;0.0136307311028501;0;0.0136307311028501
"26163520400";518;1152;39;36;27;0.292325056433409;0.650112866817156;0.0220090293453725;0.0152370203160271;0.0203160270880361
"26163521500";291;1076;13;42;107;0.19032047089601;0.703727926749509;0.00850228907782865;0.0699803793328973;0.0274689339437541
"26163522100";101;642;0;7;0;0.134666666666667;0.856;0;0;0.00933333333333333
"26163525500";97;639;0;96;418;0.0776;0.5112;0;0.3344;0.0768
"26163505400";43;2416;2;39;0;0.0172;0.9664;8e-04;0;0.0156
"26163505500";125;1244;0;4;3;0.0908430232558139;0.904069767441861;0;0.00218023255813953;0.00290697674418605
"26163508100";109;1380;137;30;16;0.0651913875598086;0.825358851674641;0.0819377990430622;0.00956937799043062;0.0179425837320574
"26163511000";47;1951;32;57;41;0.0220864661654135;0.916823308270677;0.0150375939849624;0.0192669172932331;0.0267857142857143
"26163511300";326;1235;59;103;0;0.189204875217644;0.716773070226349;0.0342426001160766;0;0.0597794544399304
"26163511400";66;2537;0;55;20;0.0246452576549664;0.947348767737117;0;0.00746825989544436;0.020537714712472
"26163513700";130;3174;7;12;0;0.0391212759554619;0.955160999097201;0.00210653024375564;0;0.0036111947035811
"26163514200";8;2603;0;47;0;0.00300978179082017;0.979307750188111;0;0;0.0176824680210685
"26163515900";33;1246;0;0;0;0.0258014073494918;0.974198592650508;0;0;0
"26163516000";65;1964;5;9;13;0.0316147859922179;0.955252918287938;0.00243190661478599;0.00632295719844358;0.00437743190661479
"26163517300";421;1552;37;32;24;0.20377541142304;0.751210067763795;0.0179090029041626;0.0116166505324298;0.0154888673765731
"26163518900";77;1720;0;51;0;0.0416666666666667;0.930735930735931;0;0;0.0275974025974026
"26163522500";349;1228;0;44;35;0.210748792270531;0.741545893719807;0;0.0211352657004831;0.0265700483091787
